BEZEN | סקרנות | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] למה לי לדעת את זה
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אם זה לא רלוונטי מיד, זה לא חשוב
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אני יודע מספיק כבר
- [אדישות אינטלקטואלית | חסרוני | אמונות] ידע נוסף לא ישנה דבר
- [אדישות אינטלקטואלית | חסרוני | אמונות] החיים פשוטים יותר כשנצמדים למה שמכירים
- [אדישות אינטלקטואלית | חסרוני | אמונות] סקרנות היא בזבוז אנרגיה
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אני חייב לדעת את כל הפרטים
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אי אפשר לעבור הלאה בלי להבין לגמרי
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] איך אנשים יכולים לא לרצות לדעת הכל
- [אדישות אינטלקטואלית | מוגזם | אמונות] בלי להבין הכל, אי אפשר להבין דבר
- [אדישות אינטלקטואלית | מוגזם | אמונות] אי-ידיעה היא כישלון אישי
- [אדישות אינטלקטואלית | מוגזם | אמונות] סקרנות חייבת לקבל מענה מיידי
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] זה מה שנכון וזהו
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] כל האחרים פשוט טועים
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] תמיד חשבנו כך, ולא נשנה את דעתנו
- [אדישות אינטלקטואלית | חסרוני | אמונות] יש אמת אחת מוחלטת שאני מחזיק בה
- [אדישות אינטלקטואלית | חסרוני | אמונות] שינוי דעה מעיד על חולשה
- [אדישות אינטלקטואלית | חסרוני | אמונות] ספק הוא סימן לחוסר נאמנות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] כל האמיתות שוות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אי אפשר לדעת שום דבר בוודאות
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אין משמעות לנכון או לא נכון
- [אדישות אינטלקטואלית | מוגזם | אמונות] אין קריטריונים אובייקטיביים לשיפוט רעיונות
- [אדישות אינטלקטואלית | מוגזם | אמונות] כל האמונות הן רק הבניות חברתיות
- [אדישות אינטלקטואלית | מוגזם | אמונות] מחויבות לעמדה היא כלא מחשבתי
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] למידה היא סתם עבודה קשה
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אין לי סבלנות להשקיע בזה
- [אדישות אינטלקטואלית | חסרוני | דפוסי חשיבה] אני כבר יודע מספיק למטרותיי
- [אדישות אינטלקטואלית | חסרוני | אמונות] למידה חדשה היא תמיד קשה מדי
- [אדישות אינטלקטואלית | חסרוני | אמונות] הידע שיש לי כבר מספיק
- [אדישות אינטלקטואלית | חסרוני | אמונות] ההשקעה בלמידה לא שווה את התמורה
- [אדישות אינטלקטואלית | מוגזם | דפוסי חשיבה] אני חייב לקרוא עוד על זה לפני שאפעל
