BEZEN | אהבה | משפטים מועילים (מאוזן)
============================================================

- [שנאה עצמית | דפוסי חשיבה] אני מקבל את עצמי כפי שאני
- [שנאה עצמית | דפוסי חשיבה] אני יכול להיות חומל כלפי עצמי
- [שנאה עצמית | דפוסי חשיבה] יש בי גם חוזקות וגם חולשות
- [שנאה עצמית | אמונות] אני ראוי לאהבה כפי שאני
- [שנאה עצמית | אמונות] מושלמות אינה תנאי לאהבה
- [שנאה עצמית | אמונות] אפשר לקבל את החולשות בלי להיכנע להן
- [שנאה עצמית | דפוסי חשיבה] אני יכול לחשוף את רגשותיי
- [שנאה עצמית | דפוסי חשיבה] אני מרגיש בטוח לשתף בפגיעות שלי
- [שנאה עצמית | דפוסי חשיבה] אפשר להיות אותנטי עם אנשים קרובים
- [שנאה עצמית | אמונות] פגיעות היא מקור לחיבור
- [שנאה עצמית | אמונות] אפשר לסמוך על אנשים קרובים
- [שנאה עצמית | אמונות] קשר אמיתי מצריך גילוי
- [שנאה עצמית | דפוסי חשיבה] אני מנסה להבין מה האחר מרגיש
- [שנאה עצמית | דפוסי חשיבה] נקודת המבט שלו חשובה
- [שנאה עצמית | דפוסי חשיבה] יש מקום למגוון רגשות
- [שנאה עצמית | אמונות] אנשים חווים את העולם בדרכים שונות
- [שנאה עצמית | אמונות] רגשות של אחרים הם תקפים
- [שנאה עצמית | אמונות] הקשבה יכולה לרפא
- [שנאה עצמית | דפוסי חשיבה] אני יכול לתת ולשמור על עצמי
- [שנאה עצמית | דפוסי חשיבה] נתינה היא ערך חשוב
- [שנאה עצמית | דפוסי חשיבה] יש איזון בין צרכי לצרכי האחר
- [שנאה עצמית | אמונות] נתינה מעשירה את החיים
- [שנאה עצמית | אמונות] אפשר לתת בלי להתרוקן
- [שנאה עצמית | אמונות] אני ואחרים ראויים לאיזון
- [שנאה עצמית | דפוסי חשיבה] קשרים דורשים השקעה
- [שנאה עצמית | דפוסי חשיבה] אפשר לעבור קשיים יחד
- [שנאה עצמית | דפוסי חשיבה] התפתחות אישית בתוך הקשר
- [שנאה עצמית | אמונות] משברים הם חלק טבעי מקשר
- [שנאה עצמית | אמונות] קשר טוב משתנה ומתפתח
- [שנאה עצמית | אמונות] מחויבות היא בחירה מתמשכת
- [שנאה עצמית | דפוסי חשיבה] רוב האנשים הם די טובים
- [שנאה עצמית | דפוסי חשיבה] אפשר לסמוך על קרובים
- [שנאה עצמית | דפוסי חשיבה] כאשר יש פגיעה, אפשר לבחון ולשקם
- [שנאה עצמית | אמונות] העולם בסיסית בטוח
- [שנאה עצמית | אמונות] רוב האנשים אינם מזיקים בכוונה
- [שנאה עצמית | אמונות] אני מסוגל להבחין בין אמין ללא אמין
- [שנאה עצמית | דפוסי חשיבה] לכל אחד זהות משלו
- [שנאה עצמית | דפוסי חשיבה] צמיחה אישית מעשירה את הקשר
- [שנאה עצמית | דפוסי חשיבה] קשר בריא כולל גם מרחב אישי
- [שנאה עצמית | אמונות] אהבה אינה בעלות
- [שנאה עצמית | אמונות] עצמאות מחזקת קשר
- [שנאה עצמית | אמונות] כל אדם צריך מרחב לגדול
- [שנאה עצמית | דפוסי חשיבה] אני רוצה בטובתו האמיתית
- [שנאה עצמית | דפוסי חשיבה] אוהב אותו גם כשקשה
- [שנאה עצמית | דפוסי חשיבה] הקשר מאפשר לנו להיות הטוב שבנו
- [שנאה עצמית | אמונות] אהבה היא בחירה יומיומית
- [שנאה עצמית | אמונות] קבלה אינה סותרת צמיחה
- [שנאה עצמית | אמונות] אפשר להכיר ולאהוב מישהו באמת
