BEZEN | יושרה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [רמאות | חסרוני | דפוסי חשיבה] זה בסדר לשקר אם לא נתפסים
- [רמאות | חסרוני | דפוסי חשיבה] אמת היא עניין של נקודת מבט
- [רמאות | חסרוני | דפוסי חשיבה] הבטחות הן רק כלי להשגת מטרה
- [רמאות | חסרוני | אמונות] כולם משקרים
- [רמאות | חסרוני | אמונות] אמת היא מותרות
- [רמאות | חסרוני | אמונות] הישרדות דורשת תחבולה
- [רמאות | מוגזם | דפוסי חשיבה] חייבים לומר את כל האמת תמיד
- [רמאות | מוגזם | דפוסי חשיבה] רגישות היא תירוץ לחמוק מאמת
- [רמאות | מוגזם | דפוסי חשיבה] אני רק אומר את מה שכולם חושבים
- [רמאות | מוגזם | אמונות] אמת אובייקטיבית חשובה יותר מרגשות
- [רמאות | מוגזם | אמונות] עדינות היא זיוף
- [רמאות | מוגזם | אמונות] תפקידי הוא להגיד 'את האמת בפרצוף'
- [רמאות | חסרוני | דפוסי חשיבה] זה בסדר שאני עושה את זה, אבל אחרים לא
- [רמאות | חסרוני | דפוסי חשיבה] חשוב איך נראים, לא מה עושים
- [רמאות | חסרוני | דפוסי חשיבה] הכללים נועדו לאחרים
- [רמאות | חסרוני | אמונות] מראית עין חשובה יותר ממהות
- [רמאות | חסרוני | אמונות] אפשר לפצל בין זהויות שונות
- [רמאות | חסרוני | אמונות] מותר למי שבעמדת כוח לפעול אחרת
- [רמאות | מוגזם | דפוסי חשיבה] אין מקום לגמישות בעקרונות
- [רמאות | מוגזם | דפוסי חשיבה] כל פשרה היא בגידה
- [רמאות | מוגזם | דפוסי חשיבה] אסור לעולם לסטות מהכללים
- [רמאות | מוגזם | אמונות] ערכים הם מוחלטים ונצחיים
- [רמאות | מוגזם | אמונות] גמישות היא חולשה מוסרית
- [רמאות | מוגזם | אמונות] אין דרך אחרת מלבד הדבקות המוחלטת
- [רמאות | חסרוני | דפוסי חשיבה] זה לא באשמתי
- [רמאות | חסרוני | דפוסי חשיבה] לא הייתה לי ברירה
- [רמאות | חסרוני | דפוסי חשיבה] כולם היו עושים כמוני במצבי
- [רמאות | חסרוני | אמונות] אני קורבן של נסיבות
- [רמאות | חסרוני | אמונות] אחרים אחראים למצבי
- [רמאות | חסרוני | אמונות] אי אפשר לצפות ממני להתמודד עם הכל
- [רמאות | מוגזם | דפוסי חשיבה] הכל תמיד באשמתי
- [רמאות | מוגזם | דפוסי חשיבה] אני צריך לתקן הכל
- [רמאות | מוגזם | דפוסי חשיבה] אם משהו השתבש, כנראה שגיתי
- [רמאות | מוגזם | אמונות] אם לא אתקן, איש לא יתקן
- [רמאות | מוגזם | אמונות] אני אחראי לאושר כולם
- [רמאות | מוגזם | אמונות] כישלון של אחרים משקף עלי
- [רמאות | חסרוני | דפוסי חשיבה] אין צורך שכולם ידעו
- [רמאות | חסרוני | דפוסי חשיבה] מידע הוא כוח
- [רמאות | חסרוני | דפוסי חשיבה] יותר בטוח לשמור דברים לעצמי
- [רמאות | חסרוני | אמונות] אחרים ינצלו מידע לרעה
- [רמאות | חסרוני | אמונות] שיתוף חושף לסכנה
