BEZEN | פתיחות מחשבתית | משפטים מועילים (מאוזן)
============================================================

- [סגירות מחשבתית | דפוסי חשיבה] כל צד מציג נקודת מבט שראוי להבין
- [סגירות מחשבתית | דפוסי חשיבה] נשמע מה לאחרים יש להציע
- [סגירות מחשבתית | דפוסי חשיבה] אפשר ללמוד מדעות שונות
- [סגירות מחשבתית | אמונות] מגוון דעות מעשיר את הדיון
- [סגירות מחשבתית | אמונות] עמדות שונות משקפות נקודות מבט תקפות
- [סגירות מחשבתית | אמונות] הבנת האחר חשובה לצמיחה
- [סגירות מחשבתית | דפוסי חשיבה] אני פתוח לשנות את דעתי בהינתן ראיות טובות
- [סגירות מחשבתית | דפוסי חשיבה] מעניין לבחון את ההנחות שלי מחדש
- [סגירות מחשבתית | דפוסי חשיבה] טעות היא הזדמנות ללמידה
- [סגירות מחשבתית | אמונות] אמונותינו הן תמיד זמניות ומתפתחות
- [סגירות מחשבתית | אמונות] סתירה היא הזדמנות לצמיחה
- [סגירות מחשבתית | אמונות] אין בושה בשינוי דעה
- [סגירות מחשבתית | דפוסי חשיבה] יש כאן גם וגם, לא רק או-או
- [סגירות מחשבתית | דפוסי חשיבה] המציאות מורכבת ממה שנראה בהתחלה
- [סגירות מחשבתית | דפוסי חשיבה] כדאי להשהות מסקנות פשטניות
- [סגירות מחשבתית | אמונות] מורכבות היא חלק טבעי מהחיים
- [סגירות מחשבתית | אמונות] סתירות פנימיות הן חלק מהמציאות
- [סגירות מחשבתית | אמונות] תובנות עמוקות דורשות התמודדות עם מורכבות
- [סגירות מחשבתית | דפוסי חשיבה] בואו ננסה משהו שלא עשינו קודם
- [סגירות מחשבתית | דפוסי חשיבה] חוויות חדשות מרחיבות אופקים
- [סגירות מחשבתית | דפוסי חשיבה] יש ערך בלצאת מאזור הנוחות
- [סגירות מחשבתית | אמונות] גיוון מעשיר את החיים
- [סגירות מחשבתית | אמונות] למידה מתרחשת מחוץ לאזור הנוחות
- [סגירות מחשבתית | אמונות] חידוש הוא חלק מצמיחה
- [סגירות מחשבתית | דפוסי חשיבה] יש הרבה שאני עדיין לא יודע
- [סגירות מחשבתית | דפוסי חשיבה] מעניין לשמוע מה המומחים אומרים
- [סגירות מחשבתית | דפוסי חשיבה] אפשר שאני טועה בנושא הזה
- [סגירות מחשבתית | אמונות] ידע הוא אינסופי וכולנו לומדים
- [סגירות מחשבתית | אמונות] מגבלות קוגניטיביות הן אנושיות
- [סגירות מחשבתית | אמונות] למידה היא תהליך מתמשך
- [סגירות מחשבתית | דפוסי חשיבה] אני מנסה להבין איך אתה רואה את זה
- [סגירות מחשבתית | דפוסי חשיבה] מעניין לדעת מה גורם לך להרגיש כך
- [סגירות מחשבתית | דפוסי חשיבה] ספר לי עוד על החוויה שלך
- [סגירות מחשבתית | אמונות] כל אדם רואה את העולם בצורה ייחודית
- [סגירות מחשבתית | אמונות] הבנת האחר מעשירה את תפיסת העולם
- [סגירות מחשבתית | אמונות] תקשורת טובה מבוססת על הקשבה
- [סגירות מחשבתית | דפוסי חשיבה] אפשר להמשיך גם כשלא הכל ברור
- [סגירות מחשבתית | דפוסי חשיבה] נגלה תשובות בהמשך הדרך
- [סגירות מחשבתית | דפוסי חשיבה] יש ערך בחקירה מתמשכת
- [סגירות מחשבתית | אמונות] החיים מלאים באי-ודאות
- [סגירות מחשבתית | אמונות] תהליכים משמעותיים דורשים סבלנות
- [סגירות מחשבתית | אמונות] עמימות פותחת אפשרויות חדשות
- [סגירות מחשבתית | דפוסי חשיבה] אני פתוח להשתנות בעקבות מפגש הזה
- [סגירות מחשבתית | דפוסי חשיבה] רעיון זה גורם לי לחשוב מחדש
- [סגירות מחשבתית | דפוסי חשיבה] אני יכול לאמץ היבטים חדשים
- [סגירות מחשבתית | אמונות] השתנות היא חלק מצמיחה
- [סגירות מחשבתית | אמונות] זהות היא דינמית ומתפתחת
- [סגירות מחשבתית | אמונות] בחירת ההשפעות עלינו היא חלק מהאותנטיות
