BEZEN | יושרה | משפטים מועילים (מאוזן)
============================================================

- [רמאות | דפוסי חשיבה] חשוב לי לעמוד בדיבורי
- [רמאות | דפוסי חשיבה] אגיד את האמת גם כשקשה
- [רמאות | דפוסי חשיבה] מילה שלי היא התחייבות
- [רמאות | אמונות] אמת חשובה יותר מנוחות רגעית
- [רמאות | אמונות] אמינות היא בסיס ליחסים
- [רמאות | אמונות] יושר פנימי מוביל לחיים טובים יותר
- [רמאות | דפוסי חשיבה] חשוב לי לפעול בהתאם לערכים שלי
- [רמאות | דפוסי חשיבה] אני בוחן החלטות לפי עקרונות
- [רמאות | דפוסי חשיבה] עלי להיות עקבי בין מה שאני מטיף לו ובין מעשיי
- [רמאות | אמונות] אופי נבנה מהחלטות יומיומיות
- [רמאות | אמונות] מבחן האדם הוא בעקביותו
- [רמאות | אמונות] כבוד עצמי נובע מנאמנות לערכים
- [רמאות | דפוסי חשיבה] זו הייתה הטעות שלי ואני מתקן
- [רמאות | דפוסי חשיבה] אני אחראי למעשיי
- [רמאות | דפוסי חשיבה] אני לא מחפש תירוצים אלא פתרונות
- [רמאות | אמונות] לקיחת אחריות מעצימה
- [רמאות | אמונות] אחריותי למעשיי אינה תלויה בנסיבות
- [רמאות | אמונות] טעויות הן הזדמנות לצמיחה
- [רמאות | דפוסי חשיבה] חשוב לי שאנשים יבינו את התהליך
- [רמאות | דפוסי חשיבה] אני מוכן לשתף במה שמנחה אותי
- [רמאות | דפוסי חשיבה] שקיפות מחזקת אמון
- [רמאות | אמונות] שקיפות בונה אמון
- [רמאות | אמונות] אין לי מה להסתיר
- [רמאות | אמונות] פתיחות מקדמת שיתוף פעולה
- [רמאות | דפוסי חשיבה] מה שנכון לאחד נכון לכולם
- [רמאות | דפוסי חשיבה] יש לשקול את טובת כל הצדדים
- [רמאות | דפוסי חשיבה] כללים צריכים להיות ברורים ועקביים
- [רמאות | אמונות] כל אדם ראוי ליחס הוגן
- [רמאות | אמונות] צדק חשוב יותר מרווח קצר טווח
- [רמאות | אמונות] הגינות בונה חברה טובה יותר
- [רמאות | דפוסי חשיבה] אני עומד לצד מי שחשוב לי
- [רמאות | דפוסי חשיבה] מחויבות היא ערך מרכזי
- [רמאות | דפוסי חשיבה] בנתיים קשים אני נשאר נאמן למטרה
- [רמאות | אמונות] יחסים משמעותיים דורשים נאמנות
- [רמאות | אמונות] מחויבות היא חלק מאופי חזק
- [רמאות | אמונות] אמינות נבנית לאורך זמן
- [רמאות | דפוסי חשיבה] יש לכבד את המרחב של אחרים
- [רמאות | דפוסי חשיבה] חשוב לתקשר גבולות בבהירות
- [רמאות | דפוסי חשיבה] אוכל להגיד לא כשצריך
- [רמאות | אמונות] כל אדם זכאי לגבולות
- [רמאות | אמונות] כיבוד גבולות מחזק יחסים
- [רמאות | אמונות] אפשר להיות קרוב וגם לכבד מרחב
- [רמאות | דפוסי חשיבה] אם הבטחתי, אקיים
- [רמאות | דפוסי חשיבה] אני אחראי למילה שלי
- [רמאות | דפוסי חשיבה] התחייבות שלי היא קדושה
- [רמאות | אמונות] דיבור יוצר מחויבות
- [רמאות | אמונות] אמינות היא נכס
- [רמאות | אמונות] המילה שלי שווה יותר מנוחות רגעית
