BEZEN | אהבה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [שנאה עצמית | חסרוני | דפוסי חשיבה] אני אף פעם לא מספיק טוב
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אחרים תמיד עדיפים ממני
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אני לא ראוי לאהבה
- [שנאה עצמית | חסרוני | אמונות] אני צריך להיות מושלם כדי להיות אהוב
- [שנאה עצמית | חסרוני | אמונות] הצרכים שלי פחות חשובים
- [שנאה עצמית | חסרוני | אמונות] אני נטל על אחרים
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אני תמיד הכי טוב
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אחרים לא מבינים את הערך שלי
- [שנאה עצמית | מוגזם | דפוסי חשיבה] מגיע לי יחס מיוחד
- [שנאה עצמית | מוגזם | אמונות] אני מיוחד וראוי ליחס יוצא דופן
- [שנאה עצמית | מוגזם | אמונות] צרכיי קודמים לאחרים
- [שנאה עצמית | מוגזם | אמונות] אנשים הם כלים להשגת מטרותיי
- [שנאה עצמית | חסרוני | דפוסי חשיבה] מוטב לשמור רגשות לעצמי
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אנשים ינצלו חולשה
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אין צורך לשתף יותר מדי
- [שנאה עצמית | חסרוני | אמונות] חשיפה רגשית היא מסוכנת
- [שנאה עצמית | חסרוני | אמונות] עדיף להיות עצמאי לגמרי
- [שנאה עצמית | חסרוני | אמונות] אף אחד לא באמת מבין
- [שנאה עצמית | מוגזם | דפוסי חשיבה] חייבים לחלוק הכל
- [שנאה עצמית | מוגזם | דפוסי חשיבה] הסתרה היא בגידה
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אם אוהבים, צריך לחשוף הכל
- [שנאה עצמית | מוגזם | אמונות] אהבה אמיתית היא מיזוג מוחלט
- [שנאה עצמית | מוגזם | אמונות] מרחק הוא סימן לדחייה
- [שנאה עצמית | מוגזם | אמונות] שקיפות מלאה היא הכרחית
- [שנאה עצמית | חסרוני | דפוסי חשיבה] לא אכפת לי מה אחרים מרגישים
- [שנאה עצמית | חסרוני | דפוסי חשיבה] בעיות של אחרים אינן ענייני
- [שנאה עצמית | חסרוני | דפוסי חשיבה] כל אחד אחראי לעצמו
- [שנאה עצמית | חסרוני | אמונות] רגשות הם חולשה
- [שנאה עצמית | חסרוני | אמונות] כל אחד לבד בעולם
- [שנאה עצמית | חסרוני | אמונות] אי אפשר באמת להבין אחרים
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אני מרגיש בדיוק מה שהוא מרגיש
- [שנאה עצמית | מוגזם | דפוסי חשיבה] הכאב שלו הורג אותי
- [שנאה עצמית | מוגזם | דפוסי חשיבה] אני חייב לפתור את הבעיות שלו
- [שנאה עצמית | מוגזם | אמונות] אני אחראי לאושר האחר
- [שנאה עצמית | מוגזם | אמונות] סבל של אחרים הוא באשמתי
- [שנאה עצמית | מוגזם | אמונות] עלי לתקן כל מצוקה
- [שנאה עצמית | חסרוני | דפוסי חשיבה] אחרים רק ינצלו אותי
