BEZEN | אהבת הלמידה | משפטים טעונים (חסרוני+מוגזם)
============================================================

- [אדישות ללמידה | חסרוני | דפוסי חשיבה] למה לי ללמוד את זה
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] זה לא רלוונטי לחיים שלי
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אין לי כוח להתאמץ על זה
- [אדישות ללמידה | חסרוני | אמונות] למידה היא רק אמצעי להשגת תעודה
- [אדישות ללמידה | חסרוני | אמונות] או שאתה מוכשר או שלא
- [אדישות ללמידה | חסרוני | אמונות] אין טעם להשקיע מאמץ בהבנה
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אני חייב לדעת הכל על הנושא
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] איך אפשר לישון כשיש עוד כל כך הרבה ללמוד
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אסור להפסיד שום מידע
- [אדישות ללמידה | מוגזם | אמונות] ערכי נמדד בכמות הידע שלי
- [אדישות ללמידה | מוגזם | אמונות] אף פעם אי אפשר לדעת מספיק
- [אדישות ללמידה | מוגזם | אמונות] חיים ללא למידה אינטנסיבית הם ביזבוז
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] לא אכפת לי למה זה ככה
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] העיקר לדעת מה לעשות
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] שאלות רק מסבכות את העניין
- [אדישות ללמידה | חסרוני | אמונות] רוב השאלות מיותרות
- [אדישות ללמידה | חסרוני | אמונות] יש רק תשובה נכונה אחת
- [אדישות ללמידה | חסרוני | אמונות] חקירה היא בזבוז זמן ואנרגיה
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] חייב לדעת עוד ועוד פרטים
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] איך אפשר להמשיך בלי להבין הכל
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] כל תשובה רק מעלה עוד שאלות
- [אדישות ללמידה | מוגזם | אמונות] אסור להשאיר שום שאלה פתוחה
- [אדישות ללמידה | מוגזם | אמונות] אי-ידיעה היא כישלון אישי
- [אדישות ללמידה | מוגזם | אמונות] רק הבנה מושלמת היא מספקת
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] זה קשה מדי בשבילי
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אני פשוט לא מסוגל להבין את זה
- [אדישות ללמידה | חסרוני | דפוסי חשיבה] אם זה לא בא לי בקלות, זה לא בשבילי
- [אדישות ללמידה | חסרוני | אמונות] או שאתה מבין מיד או שלא תבין לעולם
- [אדישות ללמידה | חסרוני | אמונות] כישרון חשוב יותר ממאמץ
- [אדישות ללמידה | חסרוני | אמונות] קושי הוא סימן שזה לא מתאים לי
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] אסור לי לעבור הלאה בלי להבין לגמרי
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] חייב להמשיך עד שאשלוט בחומר באופן מושלם
- [אדישות ללמידה | מוגזם | דפוסי חשיבה] ויתור הוא כישלון
- [אדישות ללמידה | מוגזם | אמונות] רק שליטה מושלמת היא מספקת
