BEZEN | יצירתיות חוזקה 8 תכונות ו15 מאפייניה | משפטים מועילים (מאוזן)
============================================================

- [נוקשות חשיבתית | דפוסי חשיבה] אני יכול לנסות דרך אחרת
- [נוקשות חשיבתית | דפוסי חשיבה] בוא נבחן זאת מזווית נוספת
- [נוקשות חשיבתית | דפוסי חשיבה] יש כאן אפשרויות שטרם חשבנו עליהן
- [נוקשות חשיבתית | אמונות] גמישות היא מפתח לפתרונות מקוריים
- [נוקשות חשיבתית | אמונות] אין דרך אחת נכונה
- [נוקשות חשיבתית | אמונות] שינוי מחשבתי הוא התפתחות
- [נוקשות חשיבתית | דפוסי חשיבה] בוא נדמיין איך זה יכול להיראות
- [נוקשות חשיבתית | דפוסי חשיבה] מה אם נחבר בין הרעיונות האלה
- [נוקשות חשיבתית | דפוסי חשיבה] אני רואה אפשרות חדשה לגמרי
- [נוקשות חשיבתית | אמונות] הדמיון פותח דלתות שהמציאות עדיין לא
- [נוקשות חשיבתית | אמונות] כל המצאה התחילה כדמיון
- [נוקשות חשיבתית | אמונות] יצירתיות דורשת חופש מחשבתי
- [נוקשות חשיבתית | דפוסי חשיבה] איך נוכל לעשות זאת באופן שונה וטוב יותר
- [נוקשות חשיבתית | דפוסי חשיבה] נשלב טכניקות מתחומים שונים
- [נוקשות חשיבתית | דפוסי חשיבה] בואו נשפר את המצב הקיים
- [נוקשות חשיבתית | אמונות] חדשנות היא איזון בין מקוריות לשימושיות
- [נוקשות חשיבתית | אמונות] כל תהליך ניתן לשיפור
- [נוקשות חשיבתית | אמונות] פתרונות פשוטים עדיפים על מורכבים
- [נוקשות חשיבתית | דפוסי חשיבה] הבעיה מציעה הזדמנות
- [נוקשות חשיבתית | דפוסי חשיבה] בואו נסתכל על הבעיה ממספר זוויות
- [נוקשות חשיבתית | דפוסי חשיבה] מה אם ננסח את הבעיה אחרת לגמרי
- [נוקשות חשיבתית | אמונות] כל בעיה ניתנת לפתרון ביצירתיות
- [נוקשות חשיבתית | אמונות] מגבלות הן הזדמנות ליצירתיות
- [נוקשות חשיבתית | אמונות] הפתרון הטוב ביותר לרוב אינו המובן מאליו
- [נוקשות חשיבתית | דפוסי חשיבה] מה אם נשלב את הגישות האלו
- [נוקשות חשיבתית | דפוסי חשיבה] יש קשר מעניין בין התחומים הללו
- [נוקשות חשיבתית | דפוסי חשיבה] בואו נשאל השראה מתחום שונה לגמרי
- [נוקשות חשיבתית | אמונות] חדשנות מגיעה מחיבור הבלתי צפוי
- [נוקשות חשיבתית | אמונות] גבולות בין תחומים הם מלאכותיים
- [נוקשות חשיבתית | אמונות] עושר אינטלקטואלי מגביר יצירתיות
- [נוקשות חשיבתית | דפוסי חשיבה] אני מוכן לנסות גישה שטרם נוסתה
- [נוקשות חשיבתית | דפוסי חשיבה] שווה לקחת סיכון יצירתי מחושב
- [נוקשות חשיבתית | דפוסי חשיבה] אפשר ללמוד גם מכישלונות
- [נוקשות חשיבתית | אמונות] חדשנות דורשת נכונות לטעות
- [נוקשות חשיבתית | אמונות] ביקורת היא חלק מהתהליך היצירתי
- [נוקשות חשיבתית | אמונות] אומץ יצירתי משתלם בטווח הארוך
- [נוקשות חשיבתית | דפוסי חשיבה] זו הזווית הייחודית שלי
- [נוקשות חשיבתית | דפוסי חשיבה] אני יכול להביא משהו שלא נראה עדיין
- [נוקשות חשיבתית | דפוסי חשיבה] הניסיון האישי שלי מובילךגישה חדשה
- [נוקשות חשיבתית | אמונות] יצירתיות אמיתית נובעת מאותנטיות
- [נוקשות חשיבתית | אמונות] כל אדם מביא פרספקטיבה ייחודית
- [נוקשות חשיבתית | אמונות] מקוריות דורשת קשר עמוק לעצמי
- [נוקשות חשיבתית | דפוסי חשיבה] הרעיון שלך מעורר אצלי רעיון נוסף
- [נוקשות חשיבתית | דפוסי חשיבה] בואו נבנה על הרעיונות של כולם
- [נוקשות חשיבתית | דפוסי חשיבה] יחד אנחנו יכולים ליצור משהו גדול יותר
- [נוקשות חשיבתית | אמונות] יצירתיות משגשגת בסביבה שיתופית
- [נוקשות חשיבתית | אמונות] רעיונות נהיים טובים יותר בשיתוף
- [נוקשות חשיבתית | אמונות] מגוון דעות מעשיר את התוצאה
